province_state,date,confirmed,deaths,recovered,confirmed.log,deaths.log
Abruzzo,2020-05-14,3136,379,3.1055101847699738,3.496376054012401,2.578639209968072
Abruzzo,2020-05-15,3148,381,3.118264726089479,3.498034723687027,2.5809249756756194
Abruzzo,2020-05-16,3178,383,3.137354111370733,3.5021538928713607,2.583198773968623
Abruzzo,2020-05-17,3186,385,3.13956426617585,3.503245771465113,2.5854607295085006
Abruzzo,2020-05-18,3193,388,3.1436392352745433,3.504198918539445,2.5888317255942073
Alabama,2020-03-13,5,0,-Inf,0.6989700043360189,-Inf
Alabama,2020-03-14,6,0,-Inf,0.7781512503836436,-Inf
Alabama,2020-03-15,12,0,-Inf,1.0791812460476249,-Inf
Alabama,2020-03-16,29,0,-Inf,1.462397997898956,-Inf
Alabama,2020-03-17,39,0,-Inf,1.591064607026499,-Inf
Alabama,2020-03-18,46,0,-Inf,1.662757831681574,-Inf
Alabama,2020-03-19,78,0,-Inf,1.8920946026904804,-Inf
Alabama,2020-03-20,83,0,-Inf,1.919078092376074,-Inf
Alabama,2020-03-21,131,0,-Inf,2.1172712956557644,-Inf
Alabama,2020-03-22,157,0,-Inf,2.1958996524092336,-Inf
Alabama,2020-03-23,196,0,-Inf,2.292256071356476,-Inf
Alabama,2020-03-24,242,0,-Inf,2.383815365980431,-Inf
Alabama,2020-03-25,381,1,-Inf,2.5809249756756194,0
Alabama,2020-03-26,517,1,-Inf,2.7134905430939424,0
Alabama,2020-03-27,587,4,-Inf,2.7686381012476144,0.6020599913279624
Alabama,2020-03-28,694,4,-Inf,2.841359470454855,0.6020599913279624
Alabama,2020-03-29,825,10,-Inf,2.916453948549925,1
Alabama,2020-03-30,899,10,-Inf,2.9537596917332287,1
Alabama,2020-03-31,987,23,-Inf,2.9943171526696366,1.3617278360175928
Alabama,2020-04-01,1060,27,-Inf,3.0253058652647704,1.4313637641589874
Alabama,2020-04-02,1233,32,-Inf,3.0909630765957314,1.505149978319906
Alabama,2020-04-03,1495,38,-Inf,3.1746411926604483,1.5797835966168101
Alabama,2020-04-04,1614,44,-Inf,3.2079035303860515,1.6434526764861874
Alabama,2020-04-05,1765,45,-Inf,3.2467447097238415,1.6532125137753437
Alabama,2020-04-06,1952,49,-Inf,3.290479813330673,1.6901960800285136
Alabama,2020-04-07,2169,64,-Inf,3.336259552014193,1.806179973983887
Alabama,2020-04-08,2328,66,-Inf,3.3669829759778507,1.8195439355418688
Alabama,2020-04-09,2703,70,-Inf,3.4318460456987254,1.845098040014257
Alabama,2020-04-10,2947,80,-Inf,3.469380135849925,1.9030899869919435
Alabama,2020-04-11,3217,92,-Inf,3.50745106090197,1.9637878273455553
Alabama,2020-04-12,3563,93,-Inf,3.5518158223510157,1.968482948553935
Alabama,2020-04-13,3734,99,-Inf,3.5721743136130595,1.99563519459755
Alabama,2020-04-14,3953,114,-Inf,3.5969268143429707,2.0569048513364727
Alabama,2020-04-15,4075,118,-Inf,3.6101276130759956,2.0718820073061255
Alabama,2020-04-16,4345,133,-Inf,3.6379897807846855,2.123851640967086
Alabama,2020-04-17,4571,148,-Inf,3.6600112212893308,2.1702617153949575
Alabama,2020-04-18,4712,153,-Inf,3.6732052817790453,2.184691430817599
Alabama,2020-04-19,4888,157,-Inf,3.689131197234498,2.1958996524092336
Alabama,2020-04-20,5079,163,-Inf,3.705778212828598,2.2121876044039577
Alabama,2020-04-21,5317,183,-Inf,3.725666660314179,2.2624510897304293
Alabama,2020-04-22,5593,196,-Inf,3.747644819328248,2.292256071356476
Alabama,2020-04-23,5832,202,-Inf,3.765817515309918,2.305351369446624
Alabama,2020-04-24,6026,209,-Inf,3.7800291273373383,2.320146286111054
Alabama,2020-04-25,6026,209,-Inf,3.7800291273373383,2.320146286111054
Alabama,2020-04-26,6421,219,-Inf,3.8076026699164944,2.3404441148401185
Alabama,2020-04-27,6539,228,-Inf,3.8155113373627643,2.357934847000454
Alabama,2020-04-28,6750,242,-Inf,3.829303772831025,2.383815365980431
Alabama,2020-04-29,6912,256,-Inf,3.839603729470837,2.4082399653118496
Alabama,2020-04-30,7088,272,-Inf,3.8505237088789945,2.4345689040341987
Alabama,2020-05-01,7294,289,-Inf,3.8629657589777624,2.4608978427565478
Alabama,2020-05-02,7611,288,-Inf,3.881441721941393,2.459392487759231
Alabama,2020-05-03,7888,290,-Inf,3.8969669019331548,2.462397997898956
Alabama,2020-05-04,8112,298,-Inf,3.9091279419892606,2.4742162640762553
Alabama,2020-05-05,8437,315,-Inf,3.926188049107206,2.4983105537896004
Alabama,2020-05-06,8691,343,-Inf,3.939069749923424,2.5352941200427703
Alabama,2020-05-07,9046,369,-Inf,3.9564565834098997,2.56702636615906
Alabama,2020-05-08,9385,383,-Inf,3.9724342769573653,2.583198773968623
Alabama,2020-05-09,9668,390,-Inf,3.985336641735613,2.591064607026499
Alabama,2020-05-10,9889,393,-Inf,3.9951523768914536,2.5943925503754266
Alabama,2020-05-11,10164,403,-Inf,4.007064656378332,2.6053050461411096
Alabama,2020-05-12,10464,435,-Inf,4.019697730980192,2.6384892569546374
Alabama,2020-05-13,10700,450,-Inf,4.02938377768521,2.6532125137753435
Alabama,2020-05-14,11101,473,-Inf,4.045362102653348,2.6748611407378116
Alabama,2020-05-15,11373,483,-Inf,4.055875039146097,2.683947130751512
Alabama,2020-05-16,11674,485,-Inf,4.067219688974141,2.6857417386022635
Alabama,2020-05-17,11771,488,-Inf,4.070813359702716,2.6884198220027105
Alabama,2020-05-18,12086,489,-Inf,4.082282589912437,2.6893088591236203
"Alameda County, CA",2020-03-07,2,0,-Inf,0.3010299956639812,-Inf
"Alameda County, CA",2020-03-08,2,0,-Inf,0.3010299956639812,-Inf
"Alameda County, CA",2020-03-09,2,0,-Inf,0.3010299956639812,-Inf
Alaska,2020-03-10,0,0,-Inf,-Inf,-Inf
Alaska,2020-03-11,0,0,-Inf,-Inf,-Inf
Alaska,2020-03-12,0,0,-Inf,-Inf,-Inf
Alaska,2020-03-13,1,0,-Inf,0,-Inf
Alaska,2020-03-15,1,0,-Inf,0,-Inf
Alaska,2020-03-16,1,0,-Inf,0,-Inf
Alaska,2020-03-17,3,0,-Inf,0.47712125471966244,-Inf
Alaska,2020-03-18,6,0,-Inf,0.7781512503836436,-Inf
Alaska,2020-03-19,9,0,-Inf,0.9542425094393249,-Inf
Alaska,2020-03-20,12,0,-Inf,1.0791812460476249,-Inf
Alaska,2020-03-21,15,0,-Inf,1.1760912590556813,-Inf
Alaska,2020-03-22,20,0,-Inf,1.3010299956639813,-Inf
Alaska,2020-03-23,30,0,-Inf,1.4771212547196624,-Inf
Alaska,2020-03-24,34,0,-Inf,1.5314789170422551,-Inf
Alaska,2020-03-25,41,1,-Inf,1.6127838567197355,0
Alaska,2020-03-26,56,1,-Inf,1.7481880270062005,0
Alaska,2020-03-27,58,1,-Inf,1.7634279935629373,0
Alaska,2020-03-28,85,2,-Inf,1.9294189257142929,0.3010299956639812
Alaska,2020-03-29,102,2,-Inf,2.0086001717619175,0.3010299956639812
Alaska,2020-03-30,114,3,-Inf,2.0569048513364727,0.47712125471966244
Alaska,2020-03-31,119,3,-Inf,2.075546961392531,0.47712125471966244
Alaska,2020-04-01,132,3,-Inf,2.12057393120585,0.47712125471966244
Alaska,2020-04-02,143,3,-Inf,2.155336037465062,0.47712125471966244
Alaska,2020-04-03,157,3,-Inf,2.1958996524092336,0.47712125471966244
Alaska,2020-04-04,171,5,-Inf,2.2329961103921536,0.6989700043360189
Alaska,2020-04-05,185,6,-Inf,2.2671717284030137,0.7781512503836436
Alaska,2020-04-06,190,6,-Inf,2.278753600952829,0.7781512503836436
Alaska,2020-04-07,213,6,-Inf,2.3283796034387376,0.7781512503836436
Alaska,2020-04-08,226,7,-Inf,2.3541084391474008,0.8450980400142568
Alaska,2020-04-09,235,7,-Inf,2.3710678622717363,0.8450980400142568
Alaska,2020-04-10,246,7,-Inf,2.3909351071033793,0.8450980400142568
Alaska,2020-04-11,257,8,-Inf,2.4099331233312946,0.9030899869919435
Alaska,2020-04-12,272,8,-Inf,2.4345689040341987,0.9030899869919435
Alaska,2020-04-13,277,8,-Inf,2.4424797690644486,0.9030899869919435
Alaska,2020-04-14,285,9,-Inf,2.45484486000851,0.9542425094393249
Alaska,2020-04-15,293,9,-Inf,2.4668676203541096,0.9542425094393249
Alaska,2020-04-16,300,9,-Inf,2.4771212547196626,0.9542425094393249
Alaska,2020-04-17,309,9,-Inf,2.4899584794248346,0.9542425094393249
Alaska,2020-04-18,314,9,-Inf,2.496929648073215,0.9542425094393249
Alaska,2020-04-19,319,9,-Inf,2.503790683057181,0.9542425094393249
Alaska,2020-04-20,321,9,-Inf,2.506505032404872,0.9542425094393249
Alaska,2020-04-21,329,9,-Inf,2.5171958979499744,0.9542425094393249
Alaska,2020-04-22,335,9,-Inf,2.525044807036845,0.9542425094393249
Alaska,2020-04-23,337,9,-Inf,2.5276299008713385,0.9542425094393249
Alaska,2020-04-24,339,9,-Inf,2.530199698203082,0.9542425094393249
Alaska,2020-04-25,339,9,-Inf,2.530199698203082,0.9542425094393249
Alaska,2020-04-26,340,9,-Inf,2.531478917042255,0.9542425094393249
Alaska,2020-04-27,345,9,-Inf,2.537819095073274,0.9542425094393249
Alaska,2020-04-28,351,9,-Inf,2.545307116465824,0.9542425094393249
Alaska,2020-04-29,355,9,-Inf,2.550228353055094,0.9542425094393249
Alaska,2020-04-30,355,9,-Inf,2.550228353055094,0.9542425094393249
Alaska,2020-05-01,364,9,-Inf,2.561101383649056,0.9542425094393249
Alaska,2020-05-02,365,9,-Inf,2.5622928644564746,0.9542425094393249
Alaska,2020-05-03,368,9,-Inf,2.5658478186735176,0.9542425094393249
Alaska,2020-05-04,370,9,-Inf,2.568201724066995,0.9542425094393249
Alaska,2020-05-05,371,9,-Inf,2.569373909615046,0.9542425094393249
Alaska,2020-05-06,372,10,-Inf,2.5705429398818973,1
Alaska,2020-05-07,374,10,-Inf,2.5728716022004803,1
Alaska,2020-05-08,377,10,-Inf,2.576341350205793,1
Alaska,2020-05-09,378,10,-Inf,2.577491799837225,1
Alaska,2020-05-10,379,10,-Inf,2.578639209968072,1
Alaska,2020-05-11,379,10,-Inf,2.578639209968072,1
Alaska,2020-05-12,383,10,-Inf,2.583198773968623,1
Alaska,2020-05-13,383,10,-Inf,2.583198773968623,1
Alaska,2020-05-14,383,10,-Inf,2.583198773968623,1
Alaska,2020-05-15,388,10,-Inf,2.5888317255942073,1
Alaska,2020-05-16,388,10,-Inf,2.5888317255942073,1
Alaska,2020-05-17,388,10,-Inf,2.5888317255942073,1
Alaska,2020-05-18,388,10,-Inf,2.5888317255942073,1
Alberta,2020-03-09,7,0,-Inf,0.8450980400142568,-Inf
Alberta,2020-03-10,7,0,-Inf,0.8450980400142568,-Inf
Alberta,2020-03-11,19,0,-Inf,1.2787536009528289,-Inf
Alberta,2020-03-12,19,0,-Inf,1.2787536009528289,-Inf
Alberta,2020-03-13,29,0,-Inf,1.462397997898956,-Inf
Alberta,2020-03-14,29,0,-Inf,1.462397997898956,-Inf
Alberta,2020-03-15,39,0,-Inf,1.591064607026499,-Inf
Alberta,2020-03-16,56,0,-Inf,1.7481880270062005,-Inf
Alberta,2020-03-17,74,0,-Inf,1.8692317197309762,-Inf
Alberta,2020-03-18,97,0,-Inf,1.9867717342662448,-Inf
Alberta,2020-03-19,119,0,-Inf,2.075546961392531,-Inf
Alberta,2020-03-20,146,1,-Inf,2.164352855784437,0
Alberta,2020-03-21,195,1,-Inf,2.290034611362518,0
Alberta,2020-03-22,259,1,-Inf,2.413299764081252,0
Alberta,2020-03-23,301,1,-Inf,2.478566495593843,0
Alberta,2020-03-24,359,1,-Inf,2.5550944485783194,0
Alberta,2020-03-25,358,2,-Inf,2.5538830266438746,0.3010299956639812
Alberta,2020-03-26,486,2,-Inf,2.6866362692622934,0.3010299956639812
Alberta,2020-03-27,542,2,-Inf,2.733999286538387,0.3010299956639812
Alberta,2020-03-28,542,2,-Inf,2.733999286538387,0.3010299956639812
Alberta,2020-03-29,621,2,-Inf,2.79309160017658,0.3010299956639812
Alberta,2020-03-30,661,3,-Inf,2.82020145948564,0.47712125471966244
Alberta,2020-03-31,690,8,-Inf,2.838849090737255,0.9030899869919435
Alberta,2020-04-01,754,9,-Inf,2.877371345869774,0.9542425094393249
Alberta,2020-04-02,969,13,-Inf,2.9863237770507656,1.1139433523068367
Alberta,2020-04-03,969,13,-Inf,2.9863237770507656,1.1139433523068367
Alberta,2020-04-04,1075,18,-Inf,3.031408464251624,1.255272505103306
Alberta,2020-04-05,1181,20,-Inf,3.072249897613515,1.3010299956639813
Alberta,2020-04-06,1250,23,-Inf,3.0969100130080562,1.3617278360175928
Alberta,2020-04-07,1373,24,-Inf,3.137670537236755,1.380211241711606
Alberta,2020-04-08,1373,26,-Inf,3.137670537236755,1.414973347970818
Alberta,2020-04-09,1423,29,-Inf,3.153204900084284,1.462397997898956
Alberta,2020-04-10,1451,32,-Inf,3.161667412437736,1.505149978319906
Alberta,2020-04-11,1567,40,-Inf,3.1950689964685903,1.6020599913279625
Alberta,2020-04-12,1567,40,-Inf,3.1950689964685903,1.6020599913279625
Alberta,2020-04-13,1732,46,-Inf,3.238547887681328,1.662757831681574
Alberta,2020-04-14,1870,48,-Inf,3.271841606536499,1.6812412373755872
Alberta,2020-04-15,1870,48,-Inf,3.271841606536499,1.6812412373755872
Alberta,2020-04-16,1996,48,-Inf,3.3001605369513523,1.6812412373755872
Alberta,2020-04-17,2397,50,-Inf,3.379668034033654,1.6989700043360187
Alberta,2020-04-18,2562,51,-Inf,3.4085791254086675,1.7075701760979363
Alberta,2020-04-19,2803,51,-Inf,3.447623097760286,1.7075701760979363
Alberta,2020-04-20,2908,59,-Inf,3.463594402187,1.7708520116421442
Alberta,2020-04-21,3095,61,-Inf,3.490660653356137,1.7853298350107671
Alberta,2020-04-22,3401,66,-Inf,3.531606631932722,1.8195439355418688
Alberta,2020-04-23,3720,68,-Inf,3.5705429398818973,1.8325089127062364
Alberta,2020-04-24,4017,72,-Inf,3.6039018317316716,1.8573324964312685
Alberta,2020-04-25,4233,73,-Inf,3.6266482684740105,1.863322860120456
Alberta,2020-04-26,4480,73,-Inf,3.651278013998144,1.863322860120456
Alberta,2020-04-27,4696,75,-Inf,3.671728088239558,1.8750612633917
Alberta,2020-04-28,4850,80,-Inf,3.6857417386022635,1.9030899869919435
Alberta,2020-04-29,5165,87,-Inf,3.7130703258556395,1.9395192526186185
Alberta,2020-04-30,5355,90,-Inf,3.7287594751678745,1.9542425094393248
Alberta,2020-05-01,5573,92,-Inf,3.7460890430562004,1.9637878273455553
Alberta,2020-05-02,5670,94,-Inf,3.7535830588929064,1.9731278535996986
Alberta,2020-05-03,5766,95,-Inf,3.760874638052189,1.9777236052888478
Alberta,2020-05-04,5836,104,-Inf,3.766115283221414,2.0170333392987803
Alberta,2020-05-05,5893,106,-Inf,3.770336441095149,2.0253058652647704
Alberta,2020-05-06,5963,112,-Inf,3.7754648093457392,2.0492180226701815
Alberta,2020-05-07,6017,114,-Inf,3.779380011491656,2.0569048513364727
Alberta,2020-05-08,6098,115,-Inf,3.785187420029362,2.060697840353612
Alberta,2020-05-09,6157,116,-Inf,3.7893691535914815,2.0644579892269186
Alberta,2020-05-10,6253,117,-Inf,3.7960884286806684,2.0681858617461617
Alberta,2020-05-11,6300,117,-Inf,3.7993405494535817,2.0681858617461617
Alberta,2020-05-12,6345,118,-Inf,3.8024316264307236,2.0718820073061255
Alberta,2020-05-13,6407,120,-Inf,3.8066547239918607,2.0791812460476247
Alberta,2020-05-14,6457,121,3.716420733846555,3.8100307864058394,2.08278537031645
Alberta,2020-05-15,6515,125,3.725666660314179,3.8139144200486035,2.0969100130080562
Alberta,2020-05-16,6587,126,3.730540036477119,3.818687663441514,2.100370545117563
Alberta,2020-05-17,6644,127,3.7366354976868212,3.8224296237793567,2.103803720955957
Alberta,2020-05-18,6683,128,3.7418603940652635,3.824971461123693,2.1072099696478683
American Samoa,2020-03-22,0,0,-Inf,-Inf,-Inf
American Samoa,2020-03-23,0,0,-Inf,-Inf,-Inf
American Samoa,2020-03-24,0,0,-Inf,-Inf,-Inf
American Samoa,2020-03-25,0,0,-Inf,-Inf,-Inf
American Samoa,2020-03-26,0,0,-Inf,-Inf,-Inf
American Samoa,2020-03-27,0,0,-Inf,-Inf,-Inf
American Samoa,2020-03-28,0,0,-Inf,-Inf,-Inf
